# ROSIE Middleware Platform - Risk Assessment Log
# RFC-001 SS3 Compliance - Deterministic Risk Register
# System: ROSIE Middleware Platform v0.1.0
# GxP Risk Rating: HIGH
# Last Updated: 2026-02-05
# Owner: PharmaLedger Association (compliance@pharmaledger.org)
# ============================================================================
# Format: [DATE] RISK-ID | REQ-ID | Risk: LEVEL | Impact: ... | Mitigation: ... | Test Coverage: SPEC-ID
# ============================================================================

# --- Requirement-Linked Risks ---

[2026-02-05] RISK-006 | REQ-006 | Risk: MEDIUM | Impact: Incorrect phase ordering could skip validation and produce invalid results; missing error handling could crash the system and lose scan progress; absent status tracking prevents debugging failed scans or monitoring progress | Mitigation: 6-phase pipeline enforced sequentially (Discovery -> Fetch -> Parse -> Validate -> Persist -> Notify); try/catch at each phase with scan status updated to "failed" on error; scan metrics (duration_ms, artifacts_found, commit_sha) recorded for every scan; concurrent scan prevention on same repository | Test Coverage: SPEC-006-001, SPEC-006-001-001

[2026-02-05] RISK-007 | REQ-007 | Risk: MEDIUM | Impact: Incorrect filtering returns wrong artifacts giving incomplete compliance picture; missing pagination causes slow performance for large repositories; invalid query results produce incorrect traceability analysis | Mitigation: Zod/class-validator input validation on all query parameters; paginated responses with total count metadata; consistent JSON response format across all endpoints; 404/400/500 error codes with descriptive messages; rate limiting via NestJS Throttler | Test Coverage: SPEC-007-001, SPEC-007-002

[2026-02-05] RISK-008 | REQ-008 | Risk: LOW | Impact: Incorrect data display could confuse users but underlying data remains correct; missing UI features reduce usability but REST API provides full backup access; visual bugs are cosmetic with no impact on validation accuracy | Mitigation: UI is read-only presentation layer with no write access to validation logic; all data served through validated REST API endpoints; TanStack Query provides client-side caching and error handling; responsive design tested at desktop and tablet viewports | Test Coverage: SPEC-008-001, SPEC-008-002, SPEC-008-003

# --- Infrastructure Risks ---

[2026-02-05] RISK-INF-001 | INFRA | Risk: HIGH | Impact: Signing key compromise would allow forged JWS evidence artifacts, undermining cryptographic non-repudiation required by 21 CFR Part 11 SS 11.50; forged evidence could certify non-compliant systems as validated | Mitigation: ES256 (ECDSA P-256) algorithm chosen for evidence signing — industry-standard asymmetric cryptography; signing keys stored as environment variables on Railway, never committed to source control or database; key rotation procedure documented; JWS header includes key ID (kid) for rotation traceability; signature verification performed on every evidence artifact during scan parsing | Test Coverage: SPEC-004-002

[2026-02-05] RISK-INF-002 | INFRA | Risk: MEDIUM | Impact: Database migration failure could corrupt schema leaving application in inconsistent state; failed migration during deployment could cause downtime; schema drift between environments could produce different validation results | Mitigation: Drizzle ORM generates deterministic, version-controlled migration files; migrations run in transactions with automatic rollback on failure; Railway PostgreSQL provides automatic backups for point-in-time recovery; schema defined in TypeScript with compile-time type checking; migration status tracked in drizzle migration journal | Test Coverage: SPEC-INF-001, SPEC-INF-002

[2026-02-05] RISK-INF-003 | INFRA | Risk: HIGH | Impact: Evidence tampering could invalidate compliance audit trail; modified audit_log entries would violate 21 CFR Part 11 SS 11.10(c) immutability requirement; altered traceability links could produce false compliance reports | Mitigation: Audit log table is append-only (no UPDATE or DELETE operations permitted); JWS evidence artifacts include cryptographic signatures (ES256) for tamper detection; database-level constraints prevent audit record modification; payload_hash stored in audit_log enables integrity verification; atomic transactions ensure consistent state — partial modifications are rolled back | Test Coverage: SPEC-005-001, SPEC-004-002
